"","title","ratingsCount","numPages","avgRating","year_publication"
"556","Far From the Madding Crowd",144159,433,3.96,1874
"557","Just Listen",243779,371,4.05,2006
"558","Into Thin Air: A Personal Account of the Mount Everest Disaster",467788,368,4.22,1997
"559","The Nightingale",1064618,440,4.6,2015
"560","Sarah's Key",459184,294,4.17,2006
"561","Ugly Love",1202920,337,4.15,2014
"562","Much Ado About Nothing",234067,246,4.06,1598
"563","Emma",808689,474,4.04,1815
"564","The Truth About Forever",219326,374,4.12,2004
"565","Ishmael",92474,338,4,1992
"566","Circe",819198,393,4.25,2018
"567","The Darkest Minds",179121,488,4.16,2012
"568","The Horse and His Boy",324664,224,3.91,1954
"569","Angelfall",185146,288,4.12,2011
"570","Little House on the Prairie",281106,335,4.21,1935
"571","Hyperion",226182,500,4.25,1989
"572","Swann’s Way",55432,444,4.14,1913
"573","The Last Lecture",331863,217,4.26,2008
"574","A Court of Wings and Ruin",771769,705,4.45,2017
"575","Nine Stories",142561,302,4.18,1953
"576","Trainspotting",160640,431,4.09,1993
"577","Lady Chatterley's Lover",115617,376,3.5,1928
"578","Silence",272278,440,4.08,2011
"579","Sabriel",200651,491,4.16,1995
"580","The Red Pyramid",371941,528,4.1,2010
"581","A Monster Calls",248736,237,4.35,2011
"582","Acheron",58123,728,4.56,2008
"583","I Am Number Four",333805,440,3.94,2010
"584","Cutting for Stone",360154,541,4.3,2009
"585","Dead to the World",253242,291,4.12,2004
"586","The Unbecoming of Mara Dyer",170686,456,4.03,2011
"587","I Capture the Castle",97592,408,4,1948
"588","The Hours",135136,230,3.95,1998
"589","Twelfth Night",172794,272,3.97,1601
"590","You Are Special",51814,32,4.45,1997
"591","Anne of Avonlea",180592,276,4.22,1909
"592","Slammed",276213,354,4.21,2012
"593","The Bronze Horseman",80374,637,4.3,2000
"594","Little House in the Big Woods",256565,198,4.2,1932
"595","The Goose Girl",140279,383,4.13,2003
"596","No Country for Old Men",175381,309,4.14,2005
"597","Shadow and Bone",821218,358,3.95,2012
"598","The Zombie Room",27798,241,3.74,2012
"599","Julius Caesar",192066,175,3.7,1599
"600","The Westing Game",197595,182,4.01,1978
"601","Drums of Autumn",235772,928,4.35,1996
"602","The Glass Menagerie",127039,104,3.73,1945
"603","Demian: Die Geschichte von Emil Sinclairs Jugend",98420,193,4.14,1919
"604","I'll Give You the Sun",315965,371,4.16,2014
"605","Speaker for the Dead",243430,382,4.09,1986
"606","P.S. I Love You",369584,501,4.03,2004
"607","The Last Unicorn",103213,294,4.16,1968
"608","Cyrano de Bergerac",80707,240,4.06,1897
"609","Macbeth",824678,249,3.9,1623
"610","The Arabian Nights",68121,1049,4.05,800
"611","World Without End",232833,1237,4.29,2007
"612","Words of Radiance",289891,1087,4.75,2014
"613","Cress",339501,552,4.42,2014
"614","The Art of War",433822,273,3.97,-400
"615","Interpreter of Maladies",182481,198,4.17,1999
"616","Hunted",176286,323,3.92,2009
"617","The Talisman",121638,656,4.12,1984
"618","The Bean Trees",146477,232,3.99,1988
"619","We Need to Talk About Kevin",184256,400,4.08,2003
"620","The Invisible Life of Addie LaRue",782623,444,4.22,2020
"621","A Dog's Purpose",126322,319,4.35,2010
"622","Empire of Storms",377174,689,4.57,2016
"623","All the King's Men",61483,439,4.08,1946
"624","Scarlet",386468,454,4.25,2013
"625","Wicked Lovely",161187,328,3.69,2007
"626","The Knife of Never Letting Go",185596,512,3.97,2008
"627","Before I Fall",327826,470,3.89,2010
"628","Lover Eternal",186848,441,4.33,2006
"629","The Silver Chair",277247,243,3.96,1953
"630","Invisible Monsters",136273,304,3.99,1999
"631","One Day in the Life of Ivan Denisovich",106164,182,3.97,1962
"632","The Merchant of Venice",178437,247,3.79,1596
"633","Gravity's Rainbow",41414,776,4,1973
"634","Peace Like a River",86822,312,4,2001
"635","The Secret",439047,199,3.72,2006
"636","I Am Legend and Other Stories",127242,317,4,1954
"637","A Brief History of Time",397432,213,4.21,1988
"638","The Yellow Wallpaper and Other Stories",82772,70,4.05,1892
"639","Inheritance",251208,849,4.12,2011
"640","The Eyre Affair",128971,374,3.88,2001
"641","A Wizard of Earthsea",288387,183,4.01,1968
"642","The Scorch Trials",538369,362,3.9,2010
"643","Poison Study",159606,427,4.1,2005
"644","1Q84",241744,925,3.94,2009
"645","The Queen of the Damned",146168,448,3.9,1988
"646","Mythology",52323,497,4.03,1942
"647","Foucault's Pendulum",66700,623,3.91,1988
"648","Inferno",526420,463,3.88,2013
"649","The Memory Keeper's Daughter",589533,401,3.69,2005
"650","Where She Went",285191,264,3.99,2011
"651","Prince Caspian",407129,240,3.98,1951
"652","The Girl on the Train",2682676,336,3.95,2015
"653","Left Behind",223162,470,3.85,1995
"654","Seabiscuit: An American Legend",158601,457,4.22,1999
"655","Sapiens: A Brief History of Humankind",871674,512,4.38,2011
"656","Oedipus Rex",201268,75,3.72,-429
"657","Call Me By Your Name",418406,248,4.12,2007
"658","The Left Hand of Darkness",157620,304,4.09,1969
"659","Carry On",288408,522,4.19,2015
"660","Native Son",95187,504,4.02,1940
"661","The Bourne Identity",423984,566,4.04,1980
"662","The History of Love",131729,255,3.92,2005
"663","The Night Before Christmas",118613,32,4.38,1823
"664","Oryx and Crake",252163,389,4.01,2003
"665","The Killer Angels",82149,345,4.32,1974
"666","Something Wicked This Way Comes",120862,293,3.92,1962
"667","If on a Winter's Night a Traveler",89010,260,4.04,1979
"668","A People's History of the United States",229783,729,4.07,1980
"669","Darkfever",174385,309,4.06,2006
"670","Shadowfever",105774,608,4.39,2011
"671","Rosencrantz and Guildenstern Are Dead",86696,126,4.04,1966
"672","Into the Wild",94076,288,4.31,2003
"673","The Bluest Eye",221505,216,4.1,1970
"674","The Lies of Locke Lamora",269767,752,4.3,2006
"675","The Magus",55395,656,4.05,1965
"676","Twenty Thousand Leagues Under the Sea",237063,394,3.89,1870
"677","The Ocean at the End of the Lane",569842,181,4.01,2013
"678","We Have Always Lived in the Castle",182658,146,3.96,1962
"679","The Wasp Factory",89719,184,3.79,1984
"680","Gone",195208,560,3.86,2008
"681","John Adams",350267,751,4.06,2001
"682","To All the Boys I've Loved Before",781728,355,4.06,2014
"683","Dandelion Wine",64801,239,4.08,1957
"684","House of Sand and Fog",130127,368,3.86,1999
"685","Champion",203557,369,4.33,2013
"686","The Blind Assassin",149491,637,3.96,2000
"687","Lover Unbound",130276,528,4.32,2007
"688","Pretties",251679,370,3.84,2005
"689","City of Ashes",880854,453,4.13,2008
"690","Night Watch",105831,480,4.49,2002
"691","Unravel Me",361575,461,4.18,2013
"692","Alanna: The First Adventure",125740,274,4.26,1983
"693","The Fiery Cross",198173,1443,4.25,2001
"694","Watchers",159463,624,4.18,1987
"695","Mistress Suffragette",4834,333,4.29,2017
"696","Papillon",65990,544,4.22,1969
"697","Possession",77625,555,3.89,1990
"698","Assassin's Apprentice",291129,435,4.17,1995
"699","One for the Money",527040,320,4.04,1994
"700","The Long Walk",161947,370,4.1,1979
"701","Veronika Decides to Die",206618,210,3.72,1998
"702","A Breath of Snow and Ashes",166503,980,4.43,2005
"703","Battle Royale",68654,624,4.25,1999
"704","The Glass Castle",1099484,288,4.3,2005
"705","From the Mixed-Up Files of Mrs. Basil E. Frankweiler",204050,178,4.15,1967
"706","Geek Love",63565,348,3.96,1989
"707","Simon vs. the Homo Sapiens Agenda",401680,303,4.19,2015
"708","House of Leaves",152769,710,4.09,2000
"709","The Dark Tower",162824,1050,4.27,2004
"710","On Writing: A Memoir of the Craft",266533,320,4.33,2000
"711","The Holy Bible: King James Version",264741,1590,4.43,1611
"712","The Trigger: Hunting the Assassin Who Brought the World to War",3883,352,3.78,2014
"713","Corelli's Mandolin",83563,437,4,1994
"714","Grimm's Fairy Tales",26758,518,4.13,1812
"715","Jitterbug Perfume",73836,342,4.23,1984
"716","A Heartbreaking Work of Staggering Genius",177836,437,3.69,2000
"717","The Sisterhood of the Traveling Pants",680399,294,3.83,2001
"718","Prodigal Summer",106468,444,4.02,2000
"719","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything",814285,268,4,2005
"720","The Sirens of Titan",131343,224,4.15,1959
"721","Tempted",161986,319,3.95,2009
"722","Cosmos",138073,365,4.38,1980
"723","Under the Dome",285045,1074,3.91,2009
"724","Death on the Nile",223397,352,4.12,1937
"725","Bury My Heart at Wounded Knee: An Indian History of the American West",85621,509,4.23,1970
"726","I'd Tell You I Love You, But Then I'd Have to Kill You",185422,284,3.83,2006
"727","Howl and Other Poems",105648,56,4.13,1956
"728","Prodigy",245953,371,4.24,2013
"729","The Death Cure",412648,325,3.78,2011
"730","The Book of Mormon: Another Testament of Jesus Christ",82995,531,4.27,1830
"731","The Alienist",166889,498,4.06,1994
"732","The Aeneid",121658,442,3.86,-19
"733","The Elegance of the Hedgehog",173716,325,3.79,2006
"734","Odd Thomas",262741,446,3.98,2004
"735","The Witch of Blackbird Pond",146623,256,4.01,1958
"736","The Big Sleep",146365,231,3.96,1939
"737","Love Story",58240,224,3.64,1970
"738","The No. 1 Ladies' Detective Agency",255702,235,3.8,1998
"739","Ivanhoe",91918,496,3.76,1819
"740","Anthem",147379,105,3.62,1938
"741","A Good Girl's Guide to Murder",517304,433,4.36,2019
"742","Angle of Repose",57295,569,4.24,1971
"743","One Fish, Two Fish, Red Fish, Blue Fish",192961,64,4.16,1960
"744","Red Rising",324041,382,4.26,2014
"745","The Corrections",174446,653,3.82,2001
"746","Message in a Bottle",230329,342,3.97,1998
"747","Rubinrot",141737,345,4.12,2009
"748","Walk Two Moons",162983,280,3.99,1994
"749","It's Kind of a Funny Story",240185,444,4.09,2006
"750","The Hero of Ages",355466,572,4.52,2008
"751","Confessions of a Shopaholic",716640,368,3.68,2000
"752","Lover Revealed",132415,455,4.29,2007
"753","They Both Die at the End",587327,389,3.81,2017
"754","Ender's Shadow",166117,469,4.31,1999
"755","The Magic Mountain",44855,706,4.12,1924
"756","How to Win Friends and Influence People",868287,288,4.22,1936
"757","One Day",312808,435,3.81,2009
"758","Digital Fortress",614954,510,3.69,1998
"759","The Shell Seekers",104943,530,4.18,1987
"760","The Jungle Books",86424,368,4.01,1895
"761","Princess Academy",112984,314,4.03,2005
"762","A Canticle for Leibowitz",103624,334,3.98,1959
"763","Hard-Boiled Wonderland and the End of the World",125783,400,4.13,1985
"764","The Iliad",418647,704,3.89,-800
"765","Song of Solomon",103337,338,4.12,1977
"766","Glass Houses",98866,239,3.91,2006
"767","The Story of My Life",143924,240,4.08,1902
"768","The Color of Magic",362784,228,4,1983
"769","The Edge of Never",146929,426,4.22,2012
"770","Club Dead",230050,274,4.01,2003
"771","The Power of Myth",49119,320,4.26,1988
"772","Lover Avenged",112356,527,4.36,2009
"773","Chasing the Devil: The Search for Africa's Fighting Spirit",1790,336,4.12,2010
"774","Sharp Objects",905037,254,4.01,2006
"775","The Murder of Roger Ackroyd",229729,288,4.26,1926
"776","Jude the Obscure",68778,310,3.83,1895
"777","Antigone",136175,80,3.66,-441
"778","Because of Winn-Dixie",241079,182,4.08,2000
"779","The Blood of Olympus",281969,516,4.43,2014
"780","Living Dead in Dallas",245772,291,3.96,2002
"781","The Omnivore's Dilemma: A Natural History of Four Meals",198631,450,4.18,2006
"782","Ficciones",60908,174,4.43,1944
"783","The Portrait of a Lady",77522,797,3.79,1881
"784","Worm Holes",2165,296,4.33,2017
"785","The Invention of Hugo Cabret",177565,534,4.22,2007
"786","My Name Is Asher Lev",39579,369,4.23,1972
"787","An Abundance of Katherines",509945,229,3.53,2006
"788","Starship Troopers",216276,264,4.01,1959
"789","A Man Called Ove",857653,337,4.37,2012
"790","The Passage",202786,766,4.04,2010
"791","The Moon Is a Harsh Mistress",124420,288,4.16,1966
"792","Around the World in Eighty Days",227537,252,3.94,1872
"793","Swan Song",63021,956,4.29,1987
"794","Cryptonomicon",108034,1152,4.24,1999
"795","Naked Lunch",86567,289,3.46,1959
"796","The Namesake",258538,291,4.01,2003
"797","Small Gods",113630,400,4.31,1992
"798","Still Alice",327545,292,4.32,2007
"799","Howards End",85572,318,3.96,1910
"800","Choke",202566,293,3.7,2001
"801","Fire",178252,480,4.1,2009
"802","Wild Swans: Three Daughters of China",106792,562,4.27,1991
"803","An Ember in the Ashes",263352,446,4.26,2015
"804","The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",682207,372,4.15,1988
"805","Mary Poppins",127962,209,4.02,1934
"806","The Silent Patient",1397835,325,4.18,2019
"807","Survivor",114326,304,3.93,1999
"808","Holy Bible: New International Version",77067,1248,4.6,1455
"809","Exodus",96490,608,4.34,1958
"810","Pale Fire",46982,246,4.16,1962
"811","The Forgotten Garden",212336,648,4.14,2008
"812","The Sea of Tranquility",84486,449,4.29,2012
"813","Let the Right One In",104068,513,4.04,2004
"814","Finale",165686,454,4.13,2012
"815","Linger",165059,384,3.88,2010
"816","Walking Disaster",186652,448,4.17,2013
"817","A Darker Shade of Magic",301718,400,4.07,2015
"818","I Am the Messenger",153334,357,4.04,2002
"819","Tender Is the Night",128257,430,3.79,1934
"820","Gift from the Sea",47668,130,4.15,1955
"821","The Restaurant at the End of the Universe",268150,250,4.21,1980
"822","Ethan Frome",120118,99,3.43,1911
"823","The Awakening",113268,360,4.14,2009
"824","Shutter Island",183285,369,4.1,2003
"825","Forrest Gump",65595,248,4.03,1986
"826","Revolutionary Road",84760,355,3.92,1961
"827","The Hunt for Red October",363618,432,4.1,1984
"828","Mystic River",138661,416,4.16,2001
"829","Illusions: The Adventures of a Reluctant Messiah",61986,144,4.15,1977
"830","Cold Sassy Tree",101529,405,4.02,1984
"831","Kane & Abel",115558,592,4.32,1979
"832","Daughter of the Forest",61533,554,4.28,1999
"833","The Wicked King",512198,336,4.33,2019
"834","The Reckoning",114858,391,4.18,2010
"835","Mort",227870,243,4.24,1987
"836","The Bridges of Madison County",90810,224,3.67,1992
"837","Nausea",106426,178,3.93,1938
"838","Absalom, Absalom!",42454,316,3.97,1936
"839","The Sparrow",70991,419,4.13,1996
"840","The Fall",91172,147,4.04,1956
"841","The Hotel New Hampshire",63282,520,3.92,1981
"842","Meditations",193757,254,4.26,180
"843","Reflected in You",338741,338,4.31,2012
"844","Daisy Jones & The Six",884872,355,4.24,2019
"845","Dreamfever",98841,386,4.38,2009
"846","Specials",183197,384,3.76,2006
"847","Gabriel's Inferno",154934,506,3.99,2011
"848","Kingdom of Ash",291415,980,4.63,2018
"849","Orlando",79388,336,3.87,1928
"850","Verity",1638807,336,4.38,2018
"851","The Millennium Trilogy",53668,1531,4.46,2005
"852","The Sorrows of Young Werther",114592,149,3.69,1774
"853","A Million Little Pieces",243591,515,3.67,2003
"854","Where the Heart Is",244908,376,4.03,1995
"855","The Assassin's Blade",283491,448,4.32,2014
"856","Shakespeare's Sonnets",99105,488,4.25,1609
"857","84, Charing Cross Road",72584,106,4.16,1970
"858","Guilty Pleasures",143072,355,4.02,1993
"859","The Gargoyle",47804,468,3.96,2008
"860","Dead as a Doornail",212283,295,4,2005
"861","Educated",1292609,352,4.47,2018
"862","The Love Hypothesis",931324,356,4.23,2021
"863","Archer's Voice",238771,345,4.31,2014
"864","The Agony and the Ecstasy",87498,776,4.08,1958
"865","The Well of Ascension",387358,763,4.38,2007
"866","Dark Places",690261,349,3.95,2009
"867","Christy",52849,512,4.24,1967
"868","We",88141,226,3.9,1924
"869","Fablehaven",155306,351,4.12,2006
"870","The Golden Lily",115524,418,4.31,2012
"871","The Pact",295280,512,4.02,1998
"872","A Walk in the Woods: Rediscovering America on the Appalachian Trail",387862,397,4.06,1998
"873","The Bonfire of the Vanities",77491,690,3.88,1987
"874","Lover Mine",109989,528,4.39,2010
"875","A Connecticut Yankee in King Arthur's Court",100533,480,3.77,1889
"876","The City of Ember",269829,270,3.89,2003
"877","One Foot in the Grave",101936,357,4.29,2008
"878","A Moveable Feast",139629,192,4.03,1964
"879","Burned",153496,323,3.96,2010
"880","Still Life with Woodpecker",77865,288,4.03,1980
"881","Definitely Dead",198944,324,4.01,2006
"882","One of Us Is Lying",670329,416,3.97,2017
"883","The Story of Edgar Sawtelle",96483,566,3.63,2008
"884","Crank",137647,537,4.16,2004
"885","Opal",145175,394,4.26,2012
"886","Heartstopper: Volume One",521129,288,4.51,2018
"887","Journey to the End of the Night",38386,453,4.2,1932
"888","A Study in Scarlet",407466,123,4.14,1887
"889","Beach Music",47934,800,4.17,1995
"890","How Green Was My Valley",16571,448,4.2,1939
"891","The Lucky One",351227,326,4.12,2007
"892","Deception Point",646470,556,3.74,2001
"893","The 5 Love Languages: The Secret to Love that Lasts",387532,232,4.27,1990
"894","The Fountainhead",314297,704,3.88,1943
"895","Night World, No. 1",63619,729,4.06,2008
"896","Pandemonium",233313,375,4.04,2012
"897","The Inheritance Games",373633,376,4.23,2020
"898","The Poetry of Robert Frost",46800,607,4.24,1969
"899","Sometimes a Great Notion",21531,640,4.25,1964
"900","Valley of the Dolls",60675,448,3.8,1966
"901","The Runaway Jury",294554,464,4.01,1996
"902","The Brief Wondrous Life of Oscar Wao",253350,335,3.89,2007
"903","Easy",225559,336,4.08,2012
"904","Onyx",173684,421,4.25,2012
"905","Winter",252551,832,4.43,2015
"906","The House of Mirth",92395,351,3.96,1905
"907","Will Grayson, Will Grayson",383435,310,3.72,2010
"908","The Turn of the Screw",139856,121,3.4,1898
"909","Thoughtless",138580,530,4.09,2012
"910","Childhood's End",149188,224,4.12,1953
"911","The Amulet of Samarkand",123739,462,4.02,2003
"912","The Queen of Nothing",457271,300,4.37,2019
"913","Beauty: A Retelling of the Story of Beauty and the Beast",78100,256,4.05,1978
"914","On the Beach",41097,296,3.96,1957
"915","Safe Haven",367959,353,4.21,2010
"916","Between Shades of Gray",217450,344,4.37,2011
"917","From Dead to Worse",183848,368,4.01,2008
"918","The Bhagavad Gita",66641,160,4.16,-400
"919","All Together Dead",196295,336,4.05,2007
"920","Passion",162843,420,3.86,2011
"921","Bitten",99616,436,4.02,2001
"922","Stoner",139656,288,4.32,1965
"923","Roll of Thunder, Hear My Cry",120828,288,3.88,1976
"924","Light in August",59333,507,3.94,1932
"925","A Room of One's Own",174194,112,4.2,1928
"926","The Ruins of Gorlan",147115,249,4.24,2004
"927","Wizard and Glass",186009,845,4.25,1997
"928","The Dead Zone",209498,402,3.95,1979
"929","Faefever",100161,327,4.29,2008
"930","Dead and Gone",183934,320,4.01,2009
"931","Thus Spoke Zarathustra",136493,327,4.07,1883
"932","White Noise",103423,320,3.87,1985
"933","The Dispossessed: An Ambiguous Utopia",110397,387,4.24,1974
"934","The Mysterious Benedict Society",150476,497,4.19,2007
"935","Silas Marner",82435,262,3.67,1861
"936","The Immortal Life of Henrietta Lacks",686055,370,4.1,2010
"937","Redwall",113619,352,4.13,1986
"938","Fantasy Lover",90799,337,4.15,1999
"939","Disgrace",99430,220,3.85,1999
"940","This Lullaby",176763,345,4.02,2002
"941","The Awakening / The Struggle",88125,492,3.68,1991
"942","The Rime of the Ancient Mariner",56690,77,3.95,1792
"943","Animal Farm / 1984",187480,400,4.3,1949
"944","Lady Midnight",212768,688,4.37,2016
"945","Wings",79276,290,3.76,2009
"946","The Taming of the Shrew",165018,291,3.77,1593
"947","The Story of Ferdinand",90198,72,4.36,1936
"948","The Drawing of the Three",244165,463,4.23,1987
"949","Tiger's Curse",61810,403,4.05,2011
"950","Collected Fictions",22806,565,4.57,1998
"951","Every Day",224202,322,3.91,2012
"952","These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories",70880,384,4.35,1998
"953","House of Earth and Blood",359971,803,4.48,2020
"954","All the Pretty Horses",109426,302,4.02,1992
"955","Helter Skelter: The True Story of the Manson Murders",139629,689,4.05,1974
"956","The Far Pavilions",43092,958,4.2,1978
"957","The Guardian",175051,400,4.16,2003
"958","The Horse Whisperer",56179,451,3.84,1995
"959","Hatchet",363693,208,3.76,1987
"960","The Maltese Falcon",100681,213,3.89,1930
"961","Keeper of the Lost Cities",61480,496,4.43,2012
"962","The Tempest",197071,218,3.79,1611
"963","The Complete Persepolis",164279,341,4.39,2003
"964","Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",1543,74,4.29,2018
"965","Along for the Ride",201981,383,4.04,2009
"966","Requiem for a Dream",57970,279,4.1,1978
"967","A Doll's House",131098,122,3.75,1879
"968","Turtles All the Way Down",502218,290,3.91,2017
"969","Songs of Innocence and of Experience",45958,56,4.1,1794
"970","Normal People",1055152,273,3.82,2018
"971","The Last of the Mohicans",95018,410,3.7,1826
"972","Running with Scissors",379444,304,3.75,2002
"973","Unearthly",125922,435,4.02,2011
"974","Red Dragon",313123,454,4.05,1981
"975","Breaking Dawn",1582916,756,3.73,2008
"976","Suzanne's Diary for Nicholas",146954,289,4.17,2001
"977","The Razor's Edge",44449,314,4.19,1944
"978","Hogfather",88368,432,4.24,1996
"979","The Pilgrim's Progress",127799,324,4.03,1684
"980","Smilla's Sense of Snow",47083,469,3.74,1992
"981","Blue Bloods",138805,302,3.69,2006
"982","Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth",8763,376,4.21,2014
"983","The Man in the High Castle",198017,259,3.61,1962
"984","Dirk Gently's Holistic Detective Agency",134946,306,3.97,1987
"985","A Passage to India",76255,376,3.68,1924
"986","The Client",430855,483,4.04,1993
"987","Eleven Minutes",168345,273,3.71,2003
"988","A Bend in the Road",149638,341,4.04,2001
"989","Eugene Onegin",59911,240,4.1,1833
"990","Everything, Everything",562450,312,4,2015
"991","Walks Away Woman",1140,254,4.37,2013
"992","At Grave's End",87609,342,4.29,2008
